年収,健康保険,厚生年金,社保合計,雇用保険,基礎控除,給与所得控除,課税所得,所得税,所得税+復興,住民税,手取り,税合計,税率%,増分%
100,6.113999999999999,9.6624,15.776399999999999,0.6,48,55,0,0.0,0.0,1.0,82.6236,17.376400000000004,17.4,,
100.5,6.113999999999999,9.6624,15.776399999999999,0.6024,48,55,0,0.0,0.0,1.0,83.1212,17.3788,17.3,0.4799999999988813,
101.0,6.113999999999999,9.6624,15.776399999999999,0.606,48,55,0,0.0,0.0,1.0,83.6176,17.382400000000004,17.2,0.7200000000011642,
101.5,6.113999999999999,9.6624,15.776399999999999,0.6084,48,55,0,0.0,0.0,1.0,84.1152,17.3848,17.1,0.4799999999988813,
102.0,6.113999999999999,9.6624,15.776399999999999,0.612,48,55,0,0.0,0.0,1.0,84.6116,17.388400000000004,17.0,0.7200000000011642,
102.5,6.113999999999999,9.6624,15.776399999999999,0.6156,48,55,0,0.0,0.0,1.0,85.108,17.391999999999996,17.0,0.719999999998322,
103.0,6.113999999999999,9.6624,15.776399999999999,0.618,48,55,0,0.0,0.0,1.0,85.6056,17.394400000000005,16.9,0.4800000000017235,
103.5,6.113999999999999,9.6624,15.776399999999999,0.6216,48,55,0,0.0,0.0,1.0,86.102,17.397999999999996,16.8,0.719999999998322,
104.0,6.113999999999999,9.6624,15.776399999999999,0.624,48,55,0,0.0,0.0,1.0,86.5996,17.400400000000005,16.7,0.4800000000017235,
104.5,6.113999999999999,9.6624,15.776399999999999,0.6264,48,55,0,0.0,0.0,1.0,87.0972,17.4028,16.7,0.4799999999988813,
105.0,6.113999999999999,9.6624,15.776399999999999,0.63,48,55,0,0.0,0.0,1.0,87.5936,17.406400000000005,16.6,0.7200000000011642,
105.5,6.113999999999999,9.6624,15.776399999999999,0.6336,48,55,0,0.0,0.0,1.0,88.09,17.409999999999997,16.5,0.719999999998322,
106.0,6.113999999999999,9.6624,15.776399999999999,0.636,48,55,0,0.0,0.0,1.0,88.5876,17.412400000000005,16.4,0.4800000000017235,
106.5,6.113999999999999,9.6624,15.776399999999999,0.6384,48,55,0,0.0,0.0,1.0,89.0852,17.4148,16.4,0.4799999999988813,
107.0,6.113999999999999,9.6624,15.776399999999999,0.642,48,55,0,0.0,0.0,1.0,89.5816,17.418400000000005,16.3,0.7200000000011642,
107.5,6.113999999999999,9.6624,15.776399999999999,0.6444,48,55,0,0.0,0.0,1.0,90.0792,17.4208,16.2,0.4799999999988813,
108.0,6.113999999999999,9.6624,15.776399999999999,0.648,48,55,0,0.0,0.0,1.0,90.5756,17.424400000000006,16.1,0.7200000000011642,
108.5,6.113999999999999,9.6624,15.776399999999999,0.6516,48,55,0,0.0,0.0,1.0,91.072,17.427999999999997,16.1,0.719999999998322,
109.0,6.113999999999999,9.6624,15.776399999999999,0.654,48,55,0,0.0,0.0,1.0,91.5696,17.430400000000006,16.0,0.4800000000017235,
109.5,6.113999999999999,9.6624,15.776399999999999,0.6576,48,55,0,0.0,0.0,1.0,92.066,17.433999999999997,15.9,0.719999999998322,
110.0,6.113999999999999,9.6624,15.776399999999999,0.66,48,55,0,0.0,0.0,1.0,92.5636,17.436400000000006,15.9,0.4800000000017235,
110.5,6.113999999999999,9.6624,15.776399999999999,0.6624,48,55,0,0.0,0.0,1.0,93.0612,17.4388,15.8,0.4799999999988813,
111.0,6.113999999999999,9.6624,15.776399999999999,0.666,48,55,0,0.0,0.0,1.0,93.5576,17.442400000000006,15.7,0.7200000000011642,
111.5,6.113999999999999,9.6624,15.776399999999999,0.6696,48,55,0,0.0,0.0,1.0,94.054,17.445999999999998,15.6,0.719999999998322,
112.0,6.8088,10.7604,17.569200000000002,0.672,48,55,0,0.0,0.0,1.0,92.7588,19.241200000000006,17.2,359.04000000000167,
112.5,6.8088,10.7604,17.569200000000002,0.6744,48,55,0,0.0,0.0,1.0,93.2564,19.2436,17.1,0.4799999999988813,
113.0,6.8088,10.7604,17.569200000000002,0.678,48,55,0,0.0,0.0,1.0,93.7528,19.247200000000007,17.0,0.7200000000011642,
113.5,6.8088,10.7604,17.569200000000002,0.6804,48,55,0,0.0,0.0,1.0,94.2504,19.2496,17.0,0.4799999999988813,
114.0,6.8088,10.7604,17.569200000000002,0.684,48,55,0,0.0,0.0,1.0,94.7468,19.253200000000007,16.9,0.7200000000011642,
114.5,6.8088,10.7604,17.569200000000002,0.6876,48,55,0,0.0,0.0,1.0,95.2432,19.2568,16.8,0.719999999998322,
115.0,6.8088,10.7604,17.569200000000002,0.69,48,55,0,0.0,0.0,1.0,95.7408,19.259200000000007,16.7,0.4800000000017235,
115.5,6.8088,10.7604,17.569200000000002,0.6936,48,55,0,0.0,0.0,1.0,96.2372,19.2628,16.7,0.719999999998322,
116.0,6.8088,10.7604,17.569200000000002,0.696,48,55,0,0.0,0.0,1.0,96.7348,19.265199999999993,16.6,0.4799999999988813,
116.5,6.8088,10.7604,17.569200000000002,0.6984,48,55,0,0.0,0.0,1.0,97.2324,19.2676,16.5,0.4800000000017235,
117.0,6.8088,10.7604,17.569200000000002,0.702,48,55,0,0.0,0.0,1.0,97.7288,19.271199999999993,16.5,0.719999999998322,
117.5,6.8088,10.7604,17.569200000000002,0.7056,48,55,0,0.0,0.0,1.0,98.2252,19.2748,16.4,0.7200000000011642,
118.0,6.8088,10.7604,17.569200000000002,0.708,48,55,0,0.0,0.0,1.0,98.7228,19.277199999999993,16.3,0.4799999999988813,
118.5,6.8088,10.7604,17.569200000000002,0.7104,48,55,0,0.0,0.0,1.0,99.2204,19.279600000000002,16.3,0.4800000000017235,
119.0,6.8088,10.7604,17.569200000000002,0.714,48,55,0,0.0,0.0,1.0,99.7168,19.283199999999994,16.2,0.719999999998322,
119.5,6.8088,10.7604,17.569200000000002,0.7164,48,55,0,0.0,0.0,1.0,100.2144,19.285600000000002,16.1,0.4800000000017235,
